"Step","lemon-disco-5 - train/loss","lemon-disco-5 - train/loss__MIN","lemon-disco-5 - train/loss__MAX"
"270","2.1557","2.1557","2.1557"
"271","2.1557","2.1557","2.1557"
"272","2.1477","2.1477","2.1477"
"273","2.1477","2.1477","2.1477"
"274","2.1873","2.1873","2.1873"
"275","2.1873","2.1873","2.1873"
"276","2.2399","2.2399","2.2399"
"277","2.2399","2.2399","2.2399"
"278","2.0777","2.0777","2.0777"
"279","2.0777","2.0777","2.0777"
"280","2.2101","2.2101","2.2101"
"281","2.2101","2.2101","2.2101"
"282","2.2878","2.2878","2.2878"
"283","2.2878","2.2878","2.2878"
"284","2.2005","2.2005","2.2005"
"285","2.2005","2.2005","2.2005"
"286","2.1031","2.1031","2.1031"
"287","2.1031","2.1031","2.1031"
"288","2.1124","2.1124","2.1124"
"289","2.1124","2.1124","2.1124"
"290","1.9623","1.9623","1.9623"
"291","1.9623","1.9623","1.9623"
"292","2.1464","2.1464","2.1464"
"293","2.1464","2.1464","2.1464"
"294","2.168","2.168","2.168"
"295","2.168","2.168","2.168"
"296","2.1571","2.1571","2.1571"
"297","2.1571","2.1571","2.1571"
"298","2.0852","2.0852","2.0852"
"299","2.0852","2.0852","2.0852"
"300","2.0859","2.0859","2.0859"
"301","2.0859","2.0859","2.0859"
"302","2.1062","2.1062","2.1062"
"303","2.1062","2.1062","2.1062"
"304","2.2264","2.2264","2.2264"
"305","2.2264","2.2264","2.2264"
"306","2.2028","2.2028","2.2028"
"307","2.2028","2.2028","2.2028"
"308","2.1465","2.1465","2.1465"
"309","2.1465","2.1465","2.1465"
"310","2.246","2.246","2.246"
"311","2.246","2.246","2.246"
"312","2.0389","2.0389","2.0389"
"313","2.0389","2.0389","2.0389"
"314","2.2905","2.2905","2.2905"
"315","2.2905","2.2905","2.2905"
"316","2.0893","2.0893","2.0893"
"317","2.0893","2.0893","2.0893"
"318","2.14","2.14","2.14"
"319","2.14","2.14","2.14"
"320","2.1292","2.1292","2.1292"
"321","2.1292","2.1292","2.1292"
"322","1.903","1.903","1.903"
"323","1.903","1.903","1.903"
"324","2.0226","2.0226","2.0226"
"325","2.0226","2.0226","2.0226"
"326","2.1937","2.1937","2.1937"
"327","2.1937","2.1937","2.1937"
"328","2.0834","2.0834","2.0834"
"329","2.0834","2.0834","2.0834"
"330","2.1166","2.1166","2.1166"
"331","2.1166","2.1166","2.1166"
"332","2.0179","2.0179","2.0179"
"333","2.0179","2.0179","2.0179"
"334","1.9095","1.9095","1.9095"
"335","1.9095","1.9095","1.9095"
"336","2.001","2.001","2.001"
"337","2.001","2.001","2.001"
"338","1.8927","1.8927","1.8927"
"339","1.8927","1.8927","1.8927"
"340","1.9091","1.9091","1.9091"
"341","1.9091","1.9091","1.9091"
"342","1.9651","1.9651","1.9651"
"343","1.9651","1.9651","1.9651"
"344","1.9972","1.9972","1.9972"
"345","1.9972","1.9972","1.9972"
"346","1.8082","1.8082","1.8082"
"347","1.8082","1.8082","1.8082"
"348","2.0092","2.0092","2.0092"
"349","2.0092","2.0092","2.0092"
"350","2.0926","2.0926","2.0926"
"351","2.0926","2.0926","2.0926"
"352","2.0036","2.0036","2.0036"
"353","2.0036","2.0036","2.0036"
"354","1.946","1.946","1.946"
"355","1.946","1.946","1.946"
"356","2.0007","2.0007","2.0007"
"357","2.0007","2.0007","2.0007"
"358","1.9724","1.9724","1.9724"
"359","1.9724","1.9724","1.9724"
"360","2.0491","2.0491","2.0491"
"361","2.0491","2.0491","2.0491"
"362","1.9539","1.9539","1.9539"
"363","1.9539","1.9539","1.9539"
"364","1.8999","1.8999","1.8999"
"365","1.8999","1.8999","1.8999"
"366","1.942","1.942","1.942"
"367","1.942","1.942","1.942"
"368","1.9549","1.9549","1.9549"
"369","1.9549","1.9549","1.9549"
"370","1.9801","1.9801","1.9801"
"371","1.9801","1.9801","1.9801"
"372","1.9792","1.9792","1.9792"
"373","1.9792","1.9792","1.9792"
