"Step","copper-serenity-10 - train/loss","copper-serenity-10 - train/loss__MIN","copper-serenity-10 - train/loss__MAX"
"276","2.5546","2.5546","2.5546"
"277","2.5546","2.5546","2.5546"
"278","2.3979","2.3979","2.3979"
"279","2.3979","2.3979","2.3979"
"280","2.5152","2.5152","2.5152"
"281","2.5152","2.5152","2.5152"
"282","2.5485","2.5485","2.5485"
"283","2.5485","2.5485","2.5485"
"284","2.5052","2.5052","2.5052"
"285","2.5052","2.5052","2.5052"
"286","2.3698","2.3698","2.3698"
"287","2.3698","2.3698","2.3698"
"288","2.3844","2.3844","2.3844"
"289","2.3844","2.3844","2.3844"
"290","2.1887","2.1887","2.1887"
"291","2.1887","2.1887","2.1887"
"292","2.4279","2.4279","2.4279"
"293","2.4279","2.4279","2.4279"
"294","2.453","2.453","2.453"
"295","2.453","2.453","2.453"
"296","2.4389","2.4389","2.4389"
"297","2.4389","2.4389","2.4389"
"298","2.3585","2.3585","2.3585"
"299","2.3585","2.3585","2.3585"
"300","2.3388","2.3388","2.3388"
"301","2.3388","2.3388","2.3388"
"302","2.355","2.355","2.355"
"303","2.355","2.355","2.355"
"304","2.4993","2.4993","2.4993"
"305","2.4993","2.4993","2.4993"
"306","2.4408","2.4408","2.4408"
"307","2.4408","2.4408","2.4408"
"308","2.3966","2.3966","2.3966"
"309","2.3966","2.3966","2.3966"
"310","2.5076","2.5076","2.5076"
"311","2.5076","2.5076","2.5076"
"312","2.2704","2.2704","2.2704"
"313","2.2704","2.2704","2.2704"
"314","2.544","2.544","2.544"
"315","2.544","2.544","2.544"
"316","2.336","2.336","2.336"
"317","2.336","2.336","2.336"
"318","2.369","2.369","2.369"
"319","2.369","2.369","2.369"
"320","2.3484","2.3484","2.3484"
"321","2.3484","2.3484","2.3484"
"322","2.1305","2.1305","2.1305"
"323","2.1305","2.1305","2.1305"
"324","2.2593","2.2593","2.2593"
"325","2.2593","2.2593","2.2593"
"326","2.4246","2.4246","2.4246"
"327","2.4246","2.4246","2.4246"
"328","2.2927","2.2927","2.2927"
"329","2.2927","2.2927","2.2927"
"330","2.3317","2.3317","2.3317"
"331","2.3317","2.3317","2.3317"
"332","2.2362","2.2362","2.2362"
"333","2.2362","2.2362","2.2362"
"334","2.1275","2.1275","2.1275"
"335","2.1275","2.1275","2.1275"
"336","2.2097","2.2097","2.2097"
"337","2.2097","2.2097","2.2097"
"338","2.1093","2.1093","2.1093"
"339","2.1093","2.1093","2.1093"
"340","2.1158","2.1158","2.1158"
"341","2.1158","2.1158","2.1158"
"342","2.16","2.16","2.16"
"343","2.16","2.16","2.16"
"344","2.1961","2.1961","2.1961"
"345","2.1961","2.1961","2.1961"
"346","1.9863","1.9863","1.9863"
"347","1.9863","1.9863","1.9863"
"348","2.1919","2.1919","2.1919"
"349","2.1919","2.1919","2.1919"
"350","2.3088","2.3088","2.3088"
"351","2.3088","2.3088","2.3088"
"352","2.21","2.21","2.21"
"353","2.21","2.21","2.21"
"354","2.1595","2.1595","2.1595"
"355","2.1595","2.1595","2.1595"
"356","2.1857","2.1857","2.1857"
"357","2.1857","2.1857","2.1857"
"358","2.1559","2.1559","2.1559"
"359","2.1559","2.1559","2.1559"
"360","2.2412","2.2412","2.2412"
"361","2.2412","2.2412","2.2412"
"362","2.1255","2.1255","2.1255"
"363","2.1255","2.1255","2.1255"
"364","2.0632","2.0632","2.0632"
"365","2.0632","2.0632","2.0632"
"366","2.1345","2.1345","2.1345"
"367","2.1345","2.1345","2.1345"
"368","2.1509","2.1509","2.1509"
"369","2.1509","2.1509","2.1509"
"370","2.1508","2.1508","2.1508"
"371","2.1508","2.1508","2.1508"
"372","2.1559","2.1559","2.1559"
"373","2.1559","2.1559","2.1559"
"374","2.1","2.1","2.1"
"375","2.1","2.1","2.1"
"376","2.0881","2.0881","2.0881"
"377","2.0881","2.0881","2.0881"
"378","1.9283","1.9283","1.9283"
"379","1.9283","1.9283","1.9283"
"380","1.9474","1.9474","1.9474"
"381","1.9474","1.9474","1.9474"
"382","2.2262","2.2262","2.2262"
"383","2.2262","2.2262","2.2262"
"384","2.0803","2.0803","2.0803"
"385","2.0803","2.0803","2.0803"
"386","2.0556","2.0556","2.0556"
"387","2.0556","2.0556","2.0556"
"388","2.0274","2.0274","2.0274"
"389","2.0274","2.0274","2.0274"
"390","2.1643","2.1643","2.1643"
"391","2.1643","2.1643","2.1643"
"392","2.0425","2.0425","2.0425"
"393","2.0425","2.0425","2.0425"
"394","1.8987","1.8987","1.8987"
"395","1.8987","1.8987","1.8987"
"396","2.1324","2.1324","2.1324"
"397","2.1324","2.1324","2.1324"
"398","2.1017","2.1017","2.1017"
"399","2.1017","2.1017","2.1017"
"400","2.0728","2.0728","2.0728"
"401","2.0728","2.0728","2.0728"
"402","2.0872","2.0872","2.0872"
"403","2.0872","2.0872","2.0872"
"404","2.1069","2.1069","2.1069"
"405","2.1069","2.1069","2.1069"
"406","1.9832","1.9832","1.9832"
"407","1.9832","1.9832","1.9832"
"408","2.0237","2.0237","2.0237"
"409","2.0237","2.0237","2.0237"
"410","1.9595","1.9595","1.9595"
"411","1.9595","1.9595","1.9595"
"412","1.989","1.989","1.989"
"413","1.989","1.989","1.989"
"414","2.1512","2.1512","2.1512"
"415","2.1512","2.1512","2.1512"
"416","2.1589","2.1589","2.1589"
"417","2.1589","2.1589","2.1589"
"418","2.0621","2.0621","2.0621"
"419","2.0621","2.0621","2.0621"
"420","2.0574","2.0574","2.0574"
"421","2.0574","2.0574","2.0574"
"422","1.8874","1.8874","1.8874"
"423","1.8874","1.8874","1.8874"
"424","2.1534","2.1534","2.1534"
"425","2.1534","2.1534","2.1534"
"426","2.0247","2.0247","2.0247"
"427","2.0247","2.0247","2.0247"
"428","1.9559","1.9559","1.9559"
"429","1.9559","1.9559","1.9559"
"430","1.9039","1.9039","1.9039"
"431","1.9039","1.9039","1.9039"
"432","1.931","1.931","1.931"
"433","1.931","1.931","1.931"
"434","2.0063","2.0063","2.0063"
"435","2.0063","2.0063","2.0063"
"436","1.9649","1.9649","1.9649"
"437","1.9649","1.9649","1.9649"
"438","1.9335","1.9335","1.9335"
"439","1.9335","1.9335","1.9335"
"440","2.008","2.008","2.008"
"441","2.008","2.008","2.008"
"442","2.0379","2.0379","2.0379"
"443","2.0379","2.0379","2.0379"
"444","2.053","2.053","2.053"
"445","2.053","2.053","2.053"
"446","2.0309","2.0309","2.0309"
"447","2.0309","2.0309","2.0309"
"448","1.8585","1.8585","1.8585"
"449","1.8585","1.8585","1.8585"
"450","1.9154","1.9154","1.9154"
"451","1.9154","1.9154","1.9154"
"452","1.8346","1.8346","1.8346"
"453","1.8346","1.8346","1.8346"
"454","1.835","1.835","1.835"
"455","1.835","1.835","1.835"
"456","1.8013","1.8013","1.8013"
"457","1.8013","1.8013","1.8013"
"458","1.9262","1.9262","1.9262"
"459","1.9262","1.9262","1.9262"
"460","1.8852","1.8852","1.8852"
"461","1.8852","1.8852","1.8852"
"462","1.9287","1.9287","1.9287"
"463","1.9287","1.9287","1.9287"
"464","1.9425","1.9425","1.9425"
"465","1.9425","1.9425","1.9425"
"466","1.8522","1.8522","1.8522"
"467","1.8522","1.8522","1.8522"
"468","1.8614","1.8614","1.8614"
"469","1.8614","1.8614","1.8614"
"470","1.7674","1.7674","1.7674"
"471","1.7674","1.7674","1.7674"
"472","1.8866","1.8866","1.8866"
"473","1.8866","1.8866","1.8866"
"474","1.9847","1.9847","1.9847"
"475","1.9847","1.9847","1.9847"
"476","2.0458","2.0458","2.0458"
"477","2.0458","2.0458","2.0458"
"478","1.9176","1.9176","1.9176"
"479","1.9176","1.9176","1.9176"
"480","1.9299","1.9299","1.9299"
"481","1.9299","1.9299","1.9299"
"482","1.7178","1.7178","1.7178"
"483","1.7178","1.7178","1.7178"
"484","1.7949","1.7949","1.7949"
"485","1.7949","1.7949","1.7949"
"486","1.8536","1.8536","1.8536"
"487","1.8536","1.8536","1.8536"
"488","1.8824","1.8824","1.8824"
"489","1.8824","1.8824","1.8824"
"490","1.8614","1.8614","1.8614"
"491","1.8614","1.8614","1.8614"
"492","1.7629","1.7629","1.7629"
"493","1.7629","1.7629","1.7629"
"494","1.9621","1.9621","1.9621"
"495","1.9621","1.9621","1.9621"
"496","1.8129","1.8129","1.8129"
"497","1.8129","1.8129","1.8129"
"498","1.9837","1.9837","1.9837"
"499","1.9837","1.9837","1.9837"
"500","1.7966","1.7966","1.7966"
"501","1.7966","1.7966","1.7966"
"502","1.854","1.854","1.854"
"503","1.854","1.854","1.854"
"504","1.8928","1.8928","1.8928"
"505","1.8928","1.8928","1.8928"
"506","1.8273","1.8273","1.8273"
"507","1.8273","1.8273","1.8273"
"508","1.7404","1.7404","1.7404"
"509","1.7404","1.7404","1.7404"
"510","1.7341","1.7341","1.7341"
"511","1.7341","1.7341","1.7341"
"512","1.7731","1.7731","1.7731"
"513","1.7731","1.7731","1.7731"
"514","1.8624","1.8624","1.8624"
"515","1.8624","1.8624","1.8624"
"516","1.8486","1.8486","1.8486"
"517","1.8486","1.8486","1.8486"
"518","1.6757","1.6757","1.6757"
"519","1.6757","1.6757","1.6757"
"520","1.7461","1.7461","1.7461"
"521","1.7461","1.7461","1.7461"
"522","1.7994","1.7994","1.7994"
"523","1.7994","1.7994","1.7994"
"524","1.7581","1.7581","1.7581"
"525","1.7581","1.7581","1.7581"
"526","1.8804","1.8804","1.8804"
"527","1.8804","1.8804","1.8804"
"528","1.8262","1.8262","1.8262"
"529","1.8262","1.8262","1.8262"
"530","1.7725","1.7725","1.7725"
"531","1.7725","1.7725","1.7725"
"532","1.8076","1.8076","1.8076"
"533","1.8076","1.8076","1.8076"
"534","1.8784","1.8784","1.8784"
"535","1.8784","1.8784","1.8784"
"536","1.7712","1.7712","1.7712"
"537","1.7712","1.7712","1.7712"
"538","1.789","1.789","1.789"
"539","1.789","1.789","1.789"
"540","1.8583","1.8583","1.8583"
"541","1.8583","1.8583","1.8583"
"542","1.8611","1.8611","1.8611"
"543","1.8611","1.8611","1.8611"
"544","1.7672","1.7672","1.7672"
"545","1.7672","1.7672","1.7672"
"546","1.7589","1.7589","1.7589"
"547","1.7589","1.7589","1.7589"
"548","1.8332","1.8332","1.8332"
"549","1.8332","1.8332","1.8332"
"550","1.776","1.776","1.776"
"551","1.776","1.776","1.776"
"552","1.794","1.794","1.794"
"553","1.794","1.794","1.794"
"554","1.7829","1.7829","1.7829"
"555","1.7829","1.7829","1.7829"
"556","1.9338","1.9338","1.9338"
"557","1.9338","1.9338","1.9338"
"558","1.724","1.724","1.724"
"559","1.724","1.724","1.724"
"560","1.7558","1.7558","1.7558"
"561","1.7558","1.7558","1.7558"
"562","1.8139","1.8139","1.8139"
"563","1.8139","1.8139","1.8139"
"564","1.7899","1.7899","1.7899"
"565","1.7899","1.7899","1.7899"
"566","1.8134","1.8134","1.8134"
"567","1.8134","1.8134","1.8134"
"568","1.7367","1.7367","1.7367"
"569","1.7367","1.7367","1.7367"
"570","1.7561","1.7561","1.7561"
"571","1.7561","1.7561","1.7561"
"572","1.758","1.758","1.758"
"573","1.758","1.758","1.758"
"574","1.7496","1.7496","1.7496"
"575","1.7496","1.7496","1.7496"
"576","1.8589","1.8589","1.8589"
"577","1.8589","1.8589","1.8589"
"578","1.6309","1.6309","1.6309"
"579","1.6309","1.6309","1.6309"
"580","1.7509","1.7509","1.7509"
"581","1.7509","1.7509","1.7509"
"582","1.7747","1.7747","1.7747"
"583","1.7747","1.7747","1.7747"
"584","1.6288","1.6288","1.6288"
"585","1.6288","1.6288","1.6288"
"586","1.6543","1.6543","1.6543"
"587","1.6543","1.6543","1.6543"
"588","1.7709","1.7709","1.7709"
"589","1.7709","1.7709","1.7709"
"590","1.8119","1.8119","1.8119"
"591","1.8119","1.8119","1.8119"
"592","1.7406","1.7406","1.7406"
"593","1.7406","1.7406","1.7406"
"594","1.7434","1.7434","1.7434"
"595","1.7434","1.7434","1.7434"
"596","1.7646","1.7646","1.7646"
"597","1.7646","1.7646","1.7646"
"598","1.7102","1.7102","1.7102"
"599","1.7102","1.7102","1.7102"
"600","1.8322","1.8322","1.8322"
"601","1.8322","1.8322","1.8322"
"602","1.6748","1.6748","1.6748"
"603","1.6748","1.6748","1.6748"
"604","1.8215","1.8215","1.8215"
"605","1.8215","1.8215","1.8215"
"606","1.7331","1.7331","1.7331"
"607","1.7331","1.7331","1.7331"
"608","1.8056","1.8056","1.8056"
"609","1.8056","1.8056","1.8056"
"610","1.7802","1.7802","1.7802"
"611","1.7802","1.7802","1.7802"
"612","1.8506","1.8506","1.8506"
"613","1.8506","1.8506","1.8506"
"614","1.7494","1.7494","1.7494"
"615","1.7494","1.7494","1.7494"
"616","1.7942","1.7942","1.7942"
"617","1.7942","1.7942","1.7942"
"618","1.749","1.749","1.749"
"619","1.749","1.749","1.749"
"620","1.8055","1.8055","1.8055"
"621","1.8055","1.8055","1.8055"
"622","1.7536","1.7536","1.7536"
"623","1.7536","1.7536","1.7536"
"624","1.7907","1.7907","1.7907"
"625","1.7907","1.7907","1.7907"
"626","1.7034","1.7034","1.7034"
"627","1.7034","1.7034","1.7034"
"628","1.7093","1.7093","1.7093"
"629","1.7093","1.7093","1.7093"
"630","1.6292","1.6292","1.6292"
"631","1.6292","1.6292","1.6292"
"632","1.7406","1.7406","1.7406"
"633","1.7406","1.7406","1.7406"
"634","1.7779","1.7779","1.7779"
"635","1.7779","1.7779","1.7779"
"636","1.707","1.707","1.707"
"637","1.707","1.707","1.707"
"638","1.6432","1.6432","1.6432"
"639","1.6432","1.6432","1.6432"
"640","1.6617","1.6617","1.6617"
"641","1.6617","1.6617","1.6617"
"642","1.5449","1.5449","1.5449"
"643","1.5449","1.5449","1.5449"
"644","1.6436","1.6436","1.6436"
"645","1.6436","1.6436","1.6436"
"646","1.6526","1.6526","1.6526"
"647","1.6526","1.6526","1.6526"
"648","1.6526","1.6526","1.6526"
"649","1.6526","1.6526","1.6526"
"650","1.6662","1.6662","1.6662"
"651","1.6662","1.6662","1.6662"
"652","1.5579","1.5579","1.5579"
"653","1.5579","1.5579","1.5579"
"654","1.7193","1.7193","1.7193"
"655","1.7193","1.7193","1.7193"
"656","1.7718","1.7718","1.7718"
"657","1.7718","1.7718","1.7718"
"658","1.6721","1.6721","1.6721"
"659","1.6721","1.6721","1.6721"
"660","1.7533","1.7533","1.7533"
"661","1.7533","1.7533","1.7533"
"662","1.8213","1.8213","1.8213"
"663","1.8213","1.8213","1.8213"
"664","1.5421","1.5421","1.5421"
"665","1.5421","1.5421","1.5421"
"666","1.7644","1.7644","1.7644"
"667","1.7644","1.7644","1.7644"
"668","1.6079","1.6079","1.6079"
"669","1.6079","1.6079","1.6079"
"670","1.6143","1.6143","1.6143"
"671","1.6143","1.6143","1.6143"
"672","1.7978","1.7978","1.7978"
"673","1.7978","1.7978","1.7978"
"674","1.7813","1.7813","1.7813"
"675","1.7813","1.7813","1.7813"
