"Step","gallant-terrain-3 - train/loss","gallant-terrain-3 - train/loss__MIN","gallant-terrain-3 - train/loss__MAX"
"380","2.0359","2.0359","2.0359"
"381","2.0359","2.0359","2.0359"
"382","2.3231","2.3231","2.3231"
"383","2.3231","2.3231","2.3231"
"384","2.1776","2.1776","2.1776"
"385","2.1776","2.1776","2.1776"
"386","2.1368","2.1368","2.1368"
"387","2.1368","2.1368","2.1368"
"388","2.1135","2.1135","2.1135"
"389","2.1135","2.1135","2.1135"
"390","2.2636","2.2636","2.2636"
"391","2.2636","2.2636","2.2636"
"392","2.1213","2.1213","2.1213"
"393","2.1213","2.1213","2.1213"
"394","1.974","1.974","1.974"
"395","1.974","1.974","1.974"
"396","2.2228","2.2228","2.2228"
"397","2.2228","2.2228","2.2228"
"398","2.189","2.189","2.189"
"399","2.189","2.189","2.189"
"400","2.1558","2.1558","2.1558"
"401","2.1558","2.1558","2.1558"
"402","2.1732","2.1732","2.1732"
"403","2.1732","2.1732","2.1732"
"404","2.1901","2.1901","2.1901"
"405","2.1901","2.1901","2.1901"
"406","2.0531","2.0531","2.0531"
"407","2.0531","2.0531","2.0531"
"408","2.0883","2.0883","2.0883"
"409","2.0883","2.0883","2.0883"
"410","2.028","2.028","2.028"
"411","2.028","2.028","2.028"
"412","2.0582","2.0582","2.0582"
"413","2.0582","2.0582","2.0582"
"414","2.225","2.225","2.225"
"415","2.225","2.225","2.225"
"416","2.23","2.23","2.23"
"417","2.23","2.23","2.23"
"418","2.1316","2.1316","2.1316"
"419","2.1316","2.1316","2.1316"
"420","2.1395","2.1395","2.1395"
"421","2.1395","2.1395","2.1395"
"422","1.957","1.957","1.957"
"423","1.957","1.957","1.957"
"424","2.2321","2.2321","2.2321"
"425","2.2321","2.2321","2.2321"
"426","2.1064","2.1064","2.1064"
"427","2.1064","2.1064","2.1064"
"428","2.0305","2.0305","2.0305"
"429","2.0305","2.0305","2.0305"
"430","1.9759","1.9759","1.9759"
"431","1.9759","1.9759","1.9759"
"432","2.0031","2.0031","2.0031"
"433","2.0031","2.0031","2.0031"
"434","2.0841","2.0841","2.0841"
"435","2.0841","2.0841","2.0841"
"436","2.0404","2.0404","2.0404"
"437","2.0404","2.0404","2.0404"
"438","1.9968","1.9968","1.9968"
"439","1.9968","1.9968","1.9968"
"440","2.0739","2.0739","2.0739"
"441","2.0739","2.0739","2.0739"
"442","2.1037","2.1037","2.1037"
"443","2.1037","2.1037","2.1037"
"444","2.1195","2.1195","2.1195"
"445","2.1195","2.1195","2.1195"
"446","2.1008","2.1008","2.1008"
"447","2.1008","2.1008","2.1008"
"448","1.9141","1.9141","1.9141"
"449","1.9141","1.9141","1.9141"
"450","1.9726","1.9726","1.9726"
"451","1.9726","1.9726","1.9726"
"452","1.8935","1.8935","1.8935"
"453","1.8935","1.8935","1.8935"
"454","1.9009","1.9009","1.9009"
"455","1.9009","1.9009","1.9009"
"456","1.8509","1.8509","1.8509"
"457","1.8509","1.8509","1.8509"
"458","1.9906","1.9906","1.9906"
"459","1.9906","1.9906","1.9906"
"460","1.9468","1.9468","1.9468"
"461","1.9468","1.9468","1.9468"
"462","1.9855","1.9855","1.9855"
"463","1.9855","1.9855","1.9855"
"464","1.999","1.999","1.999"
"465","1.999","1.999","1.999"
"466","1.911","1.911","1.911"
"467","1.911","1.911","1.911"
"468","1.9211","1.9211","1.9211"
"469","1.9211","1.9211","1.9211"
"470","1.821","1.821","1.821"
"471","1.821","1.821","1.821"
"472","1.9428","1.9428","1.9428"
"473","1.9428","1.9428","1.9428"
"474","2.0479","2.0479","2.0479"
"475","2.0479","2.0479","2.0479"
"476","2.1078","2.1078","2.1078"
"477","2.1078","2.1078","2.1078"
"478","1.9706","1.9706","1.9706"
"479","1.9706","1.9706","1.9706"
"480","1.9811","1.9811","1.9811"
"481","1.9811","1.9811","1.9811"
"482","1.7763","1.7763","1.7763"
"483","1.7763","1.7763","1.7763"
"484","1.8506","1.8506","1.8506"
"485","1.8506","1.8506","1.8506"
"486","1.9072","1.9072","1.9072"
"487","1.9072","1.9072","1.9072"
"488","1.9397","1.9397","1.9397"
"489","1.9397","1.9397","1.9397"
"490","1.9099","1.9099","1.9099"
"491","1.9099","1.9099","1.9099"
"492","1.8184","1.8184","1.8184"
"493","1.8184","1.8184","1.8184"
"494","2.0094","2.0094","2.0094"
"495","2.0094","2.0094","2.0094"
"496","1.868","1.868","1.868"
"497","1.868","1.868","1.868"
"498","2.04","2.04","2.04"
"499","2.04","2.04","2.04"
"500","1.8413","1.8413","1.8413"
"501","1.8413","1.8413","1.8413"
"502","1.9116","1.9116","1.9116"
"503","1.9116","1.9116","1.9116"
"504","1.9425","1.9425","1.9425"
"505","1.9425","1.9425","1.9425"
"506","1.8775","1.8775","1.8775"
"507","1.8775","1.8775","1.8775"
"508","1.784","1.784","1.784"
"509","1.784","1.784","1.784"
"510","1.7789","1.7789","1.7789"
"511","1.7789","1.7789","1.7789"
"512","1.816","1.816","1.816"
"513","1.816","1.816","1.816"
"514","1.9049","1.9049","1.9049"
"515","1.9049","1.9049","1.9049"
"516","1.9032","1.9032","1.9032"
"517","1.9032","1.9032","1.9032"
"518","1.7181","1.7181","1.7181"
"519","1.7181","1.7181","1.7181"
"520","1.7894","1.7894","1.7894"
"521","1.7894","1.7894","1.7894"
