"Step","denim-lake-75 - tok per sec","denim-lake-75 - tok per sec__MIN","denim-lake-75 - tok per sec__MAX"
"137","1005192.9383780734","1005192.9383780734","1005192.9383780734"
"139","1004703.7619804745","1004703.7619804745","1004703.7619804745"
"140","1004842.2786304888","1004842.2786304888","1004842.2786304888"
"142","1004659.1719435136","1004659.1719435136","1004659.1719435136"
"143","1006473.2413459778","1006473.2413459778","1006473.2413459778"
"148","1002437.3165092184","1002437.3165092184","1002437.3165092184"
"150","1004151.1251268793","1004151.1251268793","1004151.1251268793"
"152","1005547.5213913552","1005547.5213913552","1005547.5213913552"
"153","1004739.4368599773","1004739.4368599773","1004739.4368599773"
"155","1004302.0698897595","1004302.0698897595","1004302.0698897595"
"159","1003115.6527959737","1003115.6527959737","1003115.6527959737"
"161","1003125.5890352684","1003125.5890352684","1003125.5890352684"
"162","1004516.5104187223","1004516.5104187223","1004516.5104187223"
"165","1003556.1740944554","1003556.1740944554","1003556.1740944554"
"168","1005724.1182065174","1005724.1182065174","1005724.1182065174"
"170","1005294.2973231098","1005294.2973231098","1005294.2973231098"
"172","1005116.2762774434","1005116.2762774434","1005116.2762774434"
"173","1004605.1446140994","1004605.1446140994","1004605.1446140994"
"174","1004149.5530243806","1004149.5530243806","1004149.5530243806"
"179","1003914.840960388","1003914.840960388","1003914.840960388"
"183","1003581.2986049501","1003581.2986049501","1003581.2986049501"
"185","1006156.9374394404","1006156.9374394404","1006156.9374394404"
"187","1003953.6027983354","1003953.6027983354","1003953.6027983354"
"188","1006433.7582847982","1006433.7582847982","1006433.7582847982"
"189","1004389.0933922558","1004389.0933922558","1004389.0933922558"
"193","1007014.7349082188","1007014.7349082188","1007014.7349082188"
"195","1005564.3374636399","1005564.3374636399","1005564.3374636399"
"196","1003119.3134928123","1003119.3134928123","1003119.3134928123"
"197","1002844.3126803315","1002844.3126803315","1002844.3126803315"
"199","1004914.7002629606","1004914.7002629606","1004914.7002629606"
"201","1003596.4786063372","1003596.4786063372","1003596.4786063372"
"203","1005183.4862542138","1005183.4862542138","1005183.4862542138"
"206","1003739.4025113499","1003739.4025113499","1003739.4025113499"
"209","1003599.0958943693","1003599.0958943693","1003599.0958943693"
"211","1004024.3246740168","1004024.3246740168","1004024.3246740168"
"212","1003281.456863199","1003281.456863199","1003281.456863199"
"213","1004547.9763896851","1004547.9763896851","1004547.9763896851"
"215","1003543.0889101218","1003543.0889101218","1003543.0889101218"
"216","1003248.500902282","1003248.500902282","1003248.500902282"
"217","1002048.3928899517","1002048.3928899517","1002048.3928899517"
"220","994173.5438617521","994173.5438617521","994173.5438617521"
"222","997689.1803534373","997689.1803534373","997689.1803534373"
