"Step","deep-surf-23 - train/loss","deep-surf-23 - train/loss__MIN","deep-surf-23 - train/loss__MAX"
"207","2.4083","2.4083","2.4083"
"208","2.2867","2.2867","2.2867"
"209","2.2867","2.2867","2.2867"
"210","2.325","2.325","2.325"
"211","2.325","2.325","2.325"
"212","2.4714","2.4714","2.4714"
"213","2.4714","2.4714","2.4714"
"214","2.5167","2.5167","2.5167"
"215","2.5167","2.5167","2.5167"
"216","2.2728","2.2728","2.2728"
"217","2.2728","2.2728","2.2728"
"218","2.2766","2.2766","2.2766"
"219","2.2766","2.2766","2.2766"
"220","2.3757","2.3757","2.3757"
"221","2.3757","2.3757","2.3757"
"222","2.2485","2.2485","2.2485"
"223","2.2485","2.2485","2.2485"
"224","2.1084","2.1084","2.1084"
"225","2.1084","2.1084","2.1084"
"226","2.3025","2.3025","2.3025"
"227","2.3025","2.3025","2.3025"
"228","2.3692","2.3692","2.3692"
"229","2.3692","2.3692","2.3692"
"230","2.038","2.038","2.038"
"231","2.038","2.038","2.038"
"232","2.241","2.241","2.241"
"233","2.241","2.241","2.241"
"234","2.2388","2.2388","2.2388"
"235","2.2388","2.2388","2.2388"
"236","2.1863","2.1863","2.1863"
"237","2.1863","2.1863","2.1863"
"238","2.384","2.384","2.384"
"239","2.384","2.384","2.384"
"240","2.1395","2.1395","2.1395"
"241","2.1395","2.1395","2.1395"
"242","2.2607","2.2607","2.2607"
"243","2.2607","2.2607","2.2607"
"244","2.1034","2.1034","2.1034"
"245","2.1034","2.1034","2.1034"
"246","2.2227","2.2227","2.2227"
"247","2.2227","2.2227","2.2227"
"248","2.2406","2.2406","2.2406"
"249","2.2406","2.2406","2.2406"
"250","2.092","2.092","2.092"
"251","2.092","2.092","2.092"
"252","2.0024","2.0024","2.0024"
"253","2.0024","2.0024","2.0024"
"254","2.0522","2.0522","2.0522"
"255","2.0522","2.0522","2.0522"
"256","2.1325","2.1325","2.1325"
"257","2.1325","2.1325","2.1325"
"258","1.9766","1.9766","1.9766"
"259","1.9766","1.9766","1.9766"
"260","2.1521","2.1521","2.1521"
"261","2.1521","2.1521","2.1521"
"262","2.1442","2.1442","2.1442"
"263","2.1442","2.1442","2.1442"
"264","2.1221","2.1221","2.1221"
"265","2.1221","2.1221","2.1221"
"266","2.1824","2.1824","2.1824"
"267","2.1824","2.1824","2.1824"
"268","2.1106","2.1106","2.1106"
"269","2.1106","2.1106","2.1106"
"270","2.025","2.025","2.025"
"271","2.025","2.025","2.025"
"272","2.025","2.025","2.025"
"273","2.025","2.025","2.025"
"274","2.0573","2.0573","2.0573"
"275","2.0573","2.0573","2.0573"
"276","2.1091","2.1091","2.1091"
"277","2.1091","2.1091","2.1091"
"278","1.9552","1.9552","1.9552"
"279","1.9552","1.9552","1.9552"
"280","2.0916","2.0916","2.0916"
"281","2.0916","2.0916","2.0916"
"282","2.1394","2.1394","2.1394"
"283","2.1394","2.1394","2.1394"
"284","2.0933","2.0933","2.0933"
"285","2.0933","2.0933","2.0933"
"286","1.9998","1.9998","1.9998"
"287","1.9998","1.9998","1.9998"
"288","1.9858","1.9858","1.9858"
"289","1.9858","1.9858","1.9858"
"290","1.8492","1.8492","1.8492"
"291","1.8492","1.8492","1.8492"
"292","2.0325","2.0325","2.0325"
"293","2.0325","2.0325","2.0325"
"294","2.0508","2.0508","2.0508"
"295","2.0508","2.0508","2.0508"
"296","2.0349","2.0349","2.0349"
"297","2.0349","2.0349","2.0349"
"298","1.992","1.992","1.992"
"299","1.992","1.992","1.992"
"300","1.9618","1.9618","1.9618"
"301","1.9618","1.9618","1.9618"
"302","1.9947","1.9947","1.9947"
"303","1.9947","1.9947","1.9947"
"304","2.1192","2.1192","2.1192"
"305","2.1192","2.1192","2.1192"
"306","2.0998","2.0998","2.0998"
"307","2.0998","2.0998","2.0998"
"308","2.0419","2.0419","2.0419"
"309","2.0419","2.0419","2.0419"
"310","2.1357","2.1357","2.1357"
"311","2.1357","2.1357","2.1357"
"312","1.9294","1.9294","1.9294"
"313","1.9294","1.9294","1.9294"
"314","2.1671","2.1671","2.1671"
"315","2.1671","2.1671","2.1671"
"316","1.9994","1.9994","1.9994"
"317","1.9994","1.9994","1.9994"
"318","2.0148","2.0148","2.0148"
"319","2.0148","2.0148","2.0148"
"320","2.017","2.017","2.017"
"321","2.017","2.017","2.017"
"322","1.7938","1.7938","1.7938"
"323","1.7938","1.7938","1.7938"
"324","1.9241","1.9241","1.9241"
"325","1.9241","1.9241","1.9241"
"326","2.0932","2.0932","2.0932"
"327","2.0932","2.0932","2.0932"
"328","1.9712","1.9712","1.9712"
"329","1.9712","1.9712","1.9712"
"330","2.0185","2.0185","2.0185"
"331","2.0185","2.0185","2.0185"
"332","1.9113","1.9113","1.9113"
"333","1.9113","1.9113","1.9113"
"334","1.8271","1.8271","1.8271"
"335","1.8271","1.8271","1.8271"
"336","1.8977","1.8977","1.8977"
"337","1.8977","1.8977","1.8977"
"338","1.825","1.825","1.825"
"339","1.825","1.825","1.825"
"340","1.8294","1.8294","1.8294"
"341","1.8294","1.8294","1.8294"
"342","1.8722","1.8722","1.8722"
"343","1.8722","1.8722","1.8722"
"344","1.9157","1.9157","1.9157"
"345","1.9157","1.9157","1.9157"
"346","1.7142","1.7142","1.7142"
"347","1.7142","1.7142","1.7142"
"348","1.8956","1.8956","1.8956"
"349","1.8956","1.8956","1.8956"
"350","1.9994","1.9994","1.9994"
"351","1.9994","1.9994","1.9994"
"352","1.9257","1.9257","1.9257"
"353","1.9257","1.9257","1.9257"
"354","1.8715","1.8715","1.8715"
"355","1.8715","1.8715","1.8715"
"356","1.9166","1.9166","1.9166"
"357","1.9166","1.9166","1.9166"
"358","1.8862","1.8862","1.8862"
"359","1.8862","1.8862","1.8862"
"360","1.9665","1.9665","1.9665"
"361","1.9665","1.9665","1.9665"
"362","1.8479","1.8479","1.8479"
"363","1.8479","1.8479","1.8479"
"364","1.8287","1.8287","1.8287"
"365","1.8287","1.8287","1.8287"
"366","1.8644","1.8644","1.8644"
"367","1.8644","1.8644","1.8644"
"368","1.8846","1.8846","1.8846"
"369","1.8846","1.8846","1.8846"
"370","1.8642","1.8642","1.8642"
"371","1.8642","1.8642","1.8642"
"372","1.8971","1.8971","1.8971"
"373","1.8971","1.8971","1.8971"
"374","1.8398","1.8398","1.8398"
"375","1.8398","1.8398","1.8398"
"376","1.8381","1.8381","1.8381"
"377","1.8381","1.8381","1.8381"
"378","1.7042","1.7042","1.7042"
"379","1.7042","1.7042","1.7042"
"380","1.7092","1.7092","1.7092"
"381","1.7092","1.7092","1.7092"
"382","1.9638","1.9638","1.9638"
"383","1.9638","1.9638","1.9638"
"384","1.8451","1.8451","1.8451"
"385","1.8451","1.8451","1.8451"
"386","1.8291","1.8291","1.8291"
"387","1.8291","1.8291","1.8291"
"388","1.8017","1.8017","1.8017"
"389","1.8017","1.8017","1.8017"
"390","1.9179","1.9179","1.9179"
"391","1.9179","1.9179","1.9179"
"392","1.7969","1.7969","1.7969"
"393","1.7969","1.7969","1.7969"
"394","1.6856","1.6856","1.6856"
"395","1.6856","1.6856","1.6856"
"396","1.8812","1.8812","1.8812"
"397","1.8812","1.8812","1.8812"
"398","1.8546","1.8546","1.8546"
"399","1.8546","1.8546","1.8546"
"400","1.8376","1.8376","1.8376"
"401","1.8376","1.8376","1.8376"
"402","1.8593","1.8593","1.8593"
"403","1.8593","1.8593","1.8593"
"404","1.8873","1.8873","1.8873"
"405","1.8873","1.8873","1.8873"
"406","1.7859","1.7859","1.7859"
"407","1.7859","1.7859","1.7859"
"408","1.8057","1.8057","1.8057"
"409","1.8057","1.8057","1.8057"
"410","1.7233","1.7233","1.7233"
"411","1.7233","1.7233","1.7233"
"412","1.777","1.777","1.777"
"413","1.777","1.777","1.777"
"414","1.9193","1.9193","1.9193"
"415","1.9193","1.9193","1.9193"
"416","1.9202","1.9202","1.9202"
"417","1.9202","1.9202","1.9202"
"418","1.8618","1.8618","1.8618"
"419","1.8618","1.8618","1.8618"
"420","1.8423","1.8423","1.8423"
"421","1.8423","1.8423","1.8423"
"422","1.6862","1.6862","1.6862"
"423","1.6862","1.6862","1.6862"
"424","1.9366","1.9366","1.9366"
"425","1.9366","1.9366","1.9366"
"426","1.804","1.804","1.804"
"427","1.804","1.804","1.804"
"428","1.7635","1.7635","1.7635"
"429","1.7635","1.7635","1.7635"
"430","1.721","1.721","1.721"
"431","1.721","1.721","1.721"
"432","1.7396","1.7396","1.7396"
"433","1.7396","1.7396","1.7396"
"434","1.8099","1.8099","1.8099"
"435","1.8099","1.8099","1.8099"
"436","1.7767","1.7767","1.7767"
"437","1.7767","1.7767","1.7767"
"438","1.7284","1.7284","1.7284"
"439","1.7284","1.7284","1.7284"
"440","1.8042","1.8042","1.8042"
"441","1.8042","1.8042","1.8042"
"442","1.8315","1.8315","1.8315"
"443","1.8315","1.8315","1.8315"
"444","1.8488","1.8488","1.8488"
"445","1.8488","1.8488","1.8488"
"446","1.8491","1.8491","1.8491"
"447","1.8491","1.8491","1.8491"
"448","1.6705","1.6705","1.6705"
"449","1.6705","1.6705","1.6705"
"450","1.7356","1.7356","1.7356"
"451","1.7356","1.7356","1.7356"
"452","1.6489","1.6489","1.6489"
"453","1.6489","1.6489","1.6489"
"454","1.6551","1.6551","1.6551"
"455","1.6551","1.6551","1.6551"
"456","1.6381","1.6381","1.6381"
"457","1.6381","1.6381","1.6381"
"458","1.7404","1.7404","1.7404"
"459","1.7404","1.7404","1.7404"
"460","1.6999","1.6999","1.6999"
"461","1.6999","1.6999","1.6999"
"462","1.7549","1.7549","1.7549"
"463","1.7549","1.7549","1.7549"
"464","1.7652","1.7652","1.7652"
"465","1.7652","1.7652","1.7652"
"466","1.688","1.688","1.688"
"467","1.688","1.688","1.688"
"468","1.6934","1.6934","1.6934"
"469","1.6934","1.6934","1.6934"
"470","1.6078","1.6078","1.6078"
"471","1.6078","1.6078","1.6078"
"472","1.7227","1.7227","1.7227"
"473","1.7227","1.7227","1.7227"
"474","1.8017","1.8017","1.8017"
"475","1.8017","1.8017","1.8017"
"476","1.8616","1.8616","1.8616"
"477","1.8616","1.8616","1.8616"
"478","1.7481","1.7481","1.7481"
"479","1.7481","1.7481","1.7481"
"480","1.7618","1.7618","1.7618"
"481","1.7618","1.7618","1.7618"
"482","1.557","1.557","1.557"
"483","1.557","1.557","1.557"
"484","1.6355","1.6355","1.6355"
"485","1.6355","1.6355","1.6355"
"486","1.6883","1.6883","1.6883"
"487","1.6883","1.6883","1.6883"
"488","1.7239","1.7239","1.7239"
"489","1.7239","1.7239","1.7239"
"490","1.6948","1.6948","1.6948"
"491","1.6948","1.6948","1.6948"
"492","1.6144","1.6144","1.6144"
"493","1.6144","1.6144","1.6144"
"494","1.7934","1.7934","1.7934"
"495","1.7934","1.7934","1.7934"
"496","1.6542","1.6542","1.6542"
"497","1.6542","1.6542","1.6542"
"498","1.8211","1.8211","1.8211"
"499","1.8211","1.8211","1.8211"
"500","1.6517","1.6517","1.6517"
"501","1.6517","1.6517","1.6517"
"502","1.7065","1.7065","1.7065"
"503","1.7065","1.7065","1.7065"
"504","1.7354","1.7354","1.7354"
"505","1.7354","1.7354","1.7354"
"506","1.6679","1.6679","1.6679"
"507","1.6679","1.6679","1.6679"
"508","1.6146","1.6146","1.6146"
"509","1.6146","1.6146","1.6146"
"510","1.5933","1.5933","1.5933"
"511","1.5933","1.5933","1.5933"
"512","1.6339","1.6339","1.6339"
"513","1.6339","1.6339","1.6339"
"514","1.7163","1.7163","1.7163"
"515","1.7163","1.7163","1.7163"
"516","1.723","1.723","1.723"
"517","1.723","1.723","1.723"
"518","1.5394","1.5394","1.5394"
"519","1.5394","1.5394","1.5394"
"520","1.598","1.598","1.598"
"521","1.598","1.598","1.598"
"522","1.671","1.671","1.671"
"523","1.671","1.671","1.671"
"524","1.6218","1.6218","1.6218"
"525","1.6218","1.6218","1.6218"
"526","1.7393","1.7393","1.7393"
"527","1.7393","1.7393","1.7393"
"528","1.6877","1.6877","1.6877"
"529","1.6877","1.6877","1.6877"
"530","1.6332","1.6332","1.6332"
"531","1.6332","1.6332","1.6332"
"532","1.6662","1.6662","1.6662"
"533","1.6662","1.6662","1.6662"
